model,lr,seed,fold,dir,kind,molecule,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s100,0,plots_HLA-DPB1~02:01_HLA-DPA1~01:03,plots,HLA-DPB1~02:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,,,250513/lomo/HLA-DPB1~02:01_HLA-DPA1~01:03/test.csv,0.8541016142411069,0.9409824090584328,0.8911222780569514,0.8185805422647527,0.4343571353905885
blosum,e3,s100,1,plots_HLA-DPB1~02:01_HLA-DPA1~01:03,plots,HLA-DPB1~02:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,,,250513/lomo/HLA-DPB1~02:01_HLA-DPA1~01:03/test.csv,0.8989959307400668,0.9619586415297464,0.8859280037400654,0.8054226475279107,0.3864260935047098
blosum,e3,s100,2,plots_HLA-DPB1~02:01_HLA-DPA1~01:03,plots,HLA-DPB1~02:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,,,250513/lomo/HLA-DPB1~02:01_HLA-DPA1~01:03/test.csv,0.8705649626731173,0.9523122343615086,0.8691267476506991,0.7723285486443381,0.2001246039182118
blosum,e3,s100,3,plots_HLA-DPB1~02:01_HLA-DPA1~01:03,plots,HLA-DPB1~02:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,,,250513/lomo/HLA-DPB1~02:01_HLA-DPA1~01:03/test.csv,0.9181996239083134,0.9648523955463284,0.8800925925925925,0.7934609250398724,0.3341633744713018
blosum,e3,s100,4,plots_HLA-DPB1~02:01_HLA-DPA1~01:03,plots,HLA-DPB1~02:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~02:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,,,250513/lomo/HLA-DPB1~02:01_HLA-DPA1~01:03/test.csv,0.8836921259603149,0.9607144724997152,0.8644955590981553,0.7627591706539075,0.1066211598907678
blosum,e3,s100,0,plots_HLA-DPB1~04:01_HLA-DPA1~01:03,plots,HLA-DPB1~04:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold0.csv,,,250513/lomo/HLA-DPB1~04:01_HLA-DPA1~01:03/test.csv,0.888838904363974,0.9629485394893332,0.9241356159785162,0.8752070679182772,0.5871960486246014
blosum,e3,s100,1,plots_HLA-DPB1~04:01_HLA-DPA1~01:03,plots,HLA-DPB1~04:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold1.csv,,,250513/lomo/HLA-DPB1~04:01_HLA-DPA1~01:03/test.csv,0.9154554317548746,0.9730324149706772,0.9322951929587,0.8895637769188294,0.6413976765612524
blosum,e3,s100,2,plots_HLA-DPB1~04:01_HLA-DPA1~01:03,plots,HLA-DPB1~04:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold2.csv,,,250513/lomo/HLA-DPB1~04:01_HLA-DPA1~01:03/test.csv,0.8812771587743733,0.9632073111112333,0.8931072039831959,0.8103257868580894,0.2585318336169436
blosum,e3,s100,3,plots_HLA-DPB1~04:01_HLA-DPA1~01:03,plots,HLA-DPB1~04:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold3.csv,,,250513/lomo/HLA-DPB1~04:01_HLA-DPA1~01:03/test.csv,0.9060208913649026,0.9705148804836042,0.9191295875284184,0.8625069022639426,0.5271009019826134
blosum,e3,s100,4,plots_HLA-DPB1~04:01_HLA-DPA1~01:03,plots,HLA-DPB1~04:01_HLA-DPA1~01:03,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~04:01_HLA-DPA1~01:03/e3_s100/pred-blosum_fold4.csv,,,250513/lomo/HLA-DPB1~04:01_HLA-DPA1~01:03/test.csv,0.8474962859795728,0.9435351612509733,0.912559081701553,0.8569850911098841,0.5294662396654983
