model,lr,seed,molecule,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_small,e5,s128,HLA-DPB1~01:01_HLA-DPA1~02:01,0.966542607124903,0.9860165473773954,0.9265103146546307,0.9005501481168008,0.7782184858956335,5
esm3_small,e5,s128,HLA-DPB1~02:01_HLA-DPA1~01:03,0.9393524795559861,0.9794471844578323,0.8994137353189131,0.8312599681020734,0.478266442481868,5
esm3_small,e5,s128,HLA-DPB1~04:01_HLA-DPA1~01:03,0.9706685236768802,0.9918470334381324,0.940079704674579,0.9089453340695748,0.7597612538466895,5
esm3_small,e5,s128,HLA-DPB1~04:02_HLA-DPA1~03:01,0.8420419519834725,0.6258530570575724,0.6252634270653952,0.7979508196721312,0.49232877203568953,5
esm3_small,e5,s128,HLA-DPB1~05:01_HLA-DPA1~02:01,0.8130913134484562,0.5172198278031235,0.5336835029560263,0.7698770491803278,0.40192098318817127,5
esm3_small,e5,s128,HLA-DPB1~05:01_HLA-DPA1~02:02,0.843060838253826,0.9180892372026879,0.8006733029125265,0.7537685908747165,0.4961985856961985,5
esm3_small,e5,s128,HLA-DQB1~02:01_HLA-DQA1~05:01,0.8406923486902759,0.8941466599801352,0.7834986052297868,0.7173245614035088,0.41562086283033917,5
esm3_small,e5,s128,HLA-DQB1~03:01_HLA-DQA1~02:01,0.7452191172793199,0.7602934672129381,0.7186571369802598,0.6729050279329609,0.35507925643195365,5
esm3_small,e5,s128,HLA-DQB1~03:01_HLA-DQA1~03:01,0.8140056022408964,0.8089536488911039,0.685465120172027,0.7052631578947368,0.4226566613662408,5
esm3_small,e5,s128,HLA-DQB1~03:01_HLA-DQA1~05:01,0.7700054558079555,0.8284953812192454,0.761866611370625,0.6663336663336663,0.2793180252630918,5
esm3_small,e5,s128,HLA-DQB1~03:02_HLA-DQA1~03:01,0.7018501615330146,0.6543577610670237,0.5985762949349906,0.627579795475674,0.26735852735537435,5
esm3_small,e5,s128,HLA-DQB1~03:02_HLA-DQA1~05:01,0.8132275005777767,0.6949183109269048,0.6727622393163795,0.733972602739726,0.4567641848287984,5
esm3_small,e5,s128,HLA-DQB1~03:03_HLA-DQA1~02:01,0.8431756622582309,0.7869517357877125,0.7365009910122546,0.7716292134831461,0.5405647913939615,5
esm3_small,e5,s128,HLA-DQB1~03:03_HLA-DQA1~05:01,0.8463432400932401,0.8329782714743471,0.7162742155799858,0.7562737642585551,0.5102108882007579,5
esm3_small,e5,s128,HLA-DQB1~04:02_HLA-DQA1~02:01,0.8525191498543532,0.8234202197446059,0.7494659387644431,0.7826210826210825,0.5603527616129946,5
esm3_small,e5,s128,HLA-DQB1~04:02_HLA-DQA1~03:03,0.7263351936411298,0.5202793747730304,0.5477119986240384,0.6648956356736242,0.3107664093776446,5
esm3_small,e5,s128,HLA-DQB1~04:02_HLA-DQA1~05:01,0.8511203262854317,0.8800331570112583,0.7305081135024739,0.7457184325108853,0.5336470013185095,5
esm3_small,e5,s128,HLA-DQB1~04:02_HLA-DQA1~06:01,0.845396728225011,0.7021831523989202,0.6539614596093272,0.7108571428571429,0.4784752137341937,5
esm3_small,e5,s128,HLA-DQB1~05:01_HLA-DQA1~01:01,0.6928587184823579,0.43201484165948695,0.42971414249467293,0.6610232558139535,0.22454879645753315,5
esm3_small,e5,s128,HLA-DQB1~05:01_HLA-DQA1~01:02,0.6537078651685393,0.7314730940793506,0.5260450834202931,0.5452804377564979,0.15862495981016295,5
esm3_small,e5,s128,HLA-DQB1~05:02_HLA-DQA1~01:02,0.7472839506172839,0.6202711124520184,0.6070813984853201,0.6797619047619048,0.35600472630076985,5
esm3_small,e5,s128,HLA-DQB1~05:03_HLA-DQA1~01:04,0.6474871794871795,0.44841380976979817,0.4747018440801282,0.6479041916167665,0.22005190522613355,5
esm3_small,e5,s128,HLA-DQB1~06:02_HLA-DQA1~01:02,0.7068657324247868,0.594784062285173,0.47154550893804775,0.6730027548209366,0.27198889016433664,5
esm3_small,e5,s128,HLA-DQB1~06:03_HLA-DQA1~01:03,0.8082437275985663,0.5174658960228965,0.5541223475780246,0.7427509293680298,0.4019666493275908,5
esm3_small,e5,s128,HLA-DRB1~01:01_HLA-DRA~01:01,0.7657894386833233,0.894362589511975,0.8711771215833621,0.7890213005536267,0.3445905428600735,5
esm3_small,e5,s128,HLA-DRB1~03:01_HLA-DRA~01:01,0.7278222896720007,0.711258710441024,0.6869400937083208,0.6663452266152363,0.33822196547422506,5
esm3_small,e5,s128,HLA-DRB1~04:04_HLA-DRA~01:01,0.6670005633896088,0.4857678942740041,0.5803003703784795,0.5455536845481517,0.24525537902104966,5
esm3_small,e5,s128,HLA-DRB1~04:05_HLA-DRA~01:01,0.8434661354581674,0.897165637176174,0.8187579372512725,0.7730369307995698,0.5197136381060828,5
esm3_small,e5,s128,HLA-DRB1~07:01_HLA-DRA~01:01,0.7628890401798093,0.589195681889228,0.5686085170292274,0.660778820563104,0.3513000070417513,5
esm3_small,e5,s128,HLA-DRB1~08:01_HLA-DRA~01:01,0.8037256697050511,0.9249780356928049,0.7457334097217073,0.6724079320113314,0.372918215314528,5
esm3_small,e5,s128,HLA-DRB1~08:02_HLA-DRA~01:01,0.7258727994676774,0.6516743590606697,0.5903130402908227,0.6577777777777778,0.302292436647613,5
esm3_small,e5,s128,HLA-DRB1~09:01_HLA-DRA~01:01,0.7748280571073868,0.7843579666780851,0.7556846603795437,0.7174894217207334,0.4235295946616051,5
esm3_small,e5,s128,HLA-DRB1~11:01_HLA-DRA~01:01,0.8375727550151222,0.8472983182022844,0.7858508961535352,0.7411407503795272,0.4917498104039881,5
esm3_small,e5,s128,HLA-DRB1~12:01_HLA-DRA~01:01,0.8173474791849349,0.8219549925697855,0.7273818741253435,0.7314491882140709,0.4654310060090941,5
esm3_small,e5,s128,HLA-DRB1~13:01_HLA-DRA~01:01,0.8750704497201311,0.927438186699387,0.8330254474591585,0.7898391193903471,0.5583795308924705,5
esm3_small,e5,s128,HLA-DRB1~13:02_HLA-DRA~01:01,0.7255997944711502,0.684422312517097,0.6338977601374044,0.6546332894158982,0.3107532201832545,5
esm3_small,e5,s128,HLA-DRB1~14:54_HLA-DRA~01:01,0.9018153294486778,0.9661766306099487,0.8878269038373278,0.8357628765792031,0.5879942198482807,5
esm3_small,e5,s128,HLA-DRB1~15:01_HLA-DRA~01:01,0.7790564773251455,0.581727261457808,0.5799502386267528,0.716956906729634,0.39066671923564333,5
