model,lr,seed,fold,dir,kind,group,root,rel,path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s42,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,3.43876,0.46366,dataset/full/test.csv,DP,0.9383359618889726,0.9847374643874944,0.9370060961842402,0.8977772349780166,0.6663887309835719
af3,e5,s42,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,3.43876,0.46366,dataset/full/test.csv,DQ,0.821842582620033,0.852186376039707,0.7391988805317474,0.7374075378654456,0.4768298661561161
af3,e5,s42,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,3.43876,0.46366,dataset/full/test.csv,H2,0.7695313387400895,0.894852896132473,0.8136094674556213,0.7275675675675676,0.3107584708724761
af3,e5,s42,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,-1.92691,0.45459,dataset/full/test.csv,DR,0.8422413350328302,0.86207397863281,0.7819097631550744,0.7574565716158637,0.5126924864795018
af3,e5,s42,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,-1.92691,0.45459,dataset/full/test.csv,DP,0.9459837527153384,0.9871037118864529,0.9373965387509404,0.8983878847093307,0.6681099391698959
af3,e5,s42,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,-1.92691,0.45459,dataset/full/test.csv,DQ,0.8313690843797892,0.8607594592788018,0.754462782081509,0.7432194434660092,0.4853644153239113
af3,e5,s42,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold2.csv,-1.92691,0.45459,dataset/full/test.csv,H2,0.8327937935891319,0.9161664673767054,0.8557692307692307,0.772972972972973,0.3855488762047038
af3,e5,s42,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,-1.69388,0.45107,dataset/full/test.csv,DR,0.8464797572945508,0.8674734324324973,0.7843854177868588,0.7610321504126814,0.5197838149589471
af3,e5,s42,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,-1.69388,0.45107,dataset/full/test.csv,DP,0.9450253951350316,0.987007332300048,0.9393322782425202,0.901685393258427,0.680771447303341
af3,e5,s42,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,-1.69388,0.45107,dataset/full/test.csv,DQ,0.8325781398397075,0.8647936567441278,0.7541371158392435,0.7435716801690736,0.4861961967305885
af3,e5,s42,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold3.csv,-1.69388,0.45107,dataset/full/test.csv,H2,0.8308571298757355,0.920757003570741,0.8524833209785025,0.7848648648648648,0.4583640716987601
af3,e5,s42,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,-2.78311,0.4366,dataset/full/test.csv,DR,0.8575443469586764,0.8764739008464155,0.7865689796611128,0.775185483150085,0.5491927822112447
af3,e5,s42,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,-2.78311,0.4366,dataset/full/test.csv,DP,0.9601138905036984,0.9905473587236782,0.9462219196732472,0.9131656082071324,0.7221044749548357
af3,e5,s42,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,-2.78311,0.4366,dataset/full/test.csv,DQ,0.8632208461747305,0.8885120278109284,0.7751295336787565,0.770693906305037,0.5421208394882706
af3,e5,s42,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold4.csv,-2.78311,0.4366,dataset/full/test.csv,H2,0.8663134101183579,0.9332751250855134,0.876770538243626,0.8118918918918919,0.5091437765432008
blosum,e3,s100,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,,,dataset/full/test.csv,DR,0.8540502001567637,0.8692996244953876,0.7815498154981549,0.7706862131640893,0.5404507559931695
blosum,e3,s100,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,,,dataset/full/test.csv,DP,0.9550904837942816,0.9894932223781971,0.9418173564348944,0.9060820713238886,0.6996689579346937
blosum,e3,s100,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,,,dataset/full/test.csv,DQ,0.8487789360311953,0.868607778052598,0.7739189649302008,0.766114829165199,0.5318104386347531
blosum,e3,s100,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold0.csv,,,dataset/full/test.csv,H2,0.819140598377973,0.9039509337731434,0.8675034867503487,0.7945945945945946,0.4558187557228578
blosum,e3,s100,1,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,,,dataset/full/test.csv,DR,0.846141357906137,0.8611945109389711,0.7765666807491902,0.7636244450403742,0.5256773046110247
blosum,e3,s100,1,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,,,dataset/full/test.csv,DP,0.94747338345318,0.9876002308645216,0.9318600368324124,0.8915486077186126,0.6723048909184515
blosum,e3,s100,1,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,,,dataset/full/test.csv,DQ,0.8314183118075218,0.8535527156647063,0.7435852061582021,0.7448045086297992,0.493151242558384
blosum,e3,s100,1,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold1.csv,,,dataset/full/test.csv,H2,0.8014607328653536,0.8834081828570983,0.8596491228070176,0.7924324324324324,0.4690474105336372
blosum,e3,s100,2,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,,,dataset/full/test.csv,DR,0.8459075004098473,0.859396774072319,0.7775415922682312,0.7661273501981467,0.531180682051507
blosum,e3,s100,2,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,,,dataset/full/test.csv,DP,0.945969053065438,0.9867945021191046,0.9401283503208758,0.9031509526135808,0.6876918510865829
blosum,e3,s100,2,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,,,dataset/full/test.csv,DQ,0.8306407422103812,0.8538878799793239,0.7545500935533254,0.7458612187389926,0.4911959785345621
blosum,e3,s100,2,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold2.csv,,,dataset/full/test.csv,H2,0.807676798655126,0.8933896693811144,0.8724928366762178,0.8075675675675675,0.5001059114698804
blosum,e3,s100,3,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,,,dataset/full/test.csv,DR,0.8365056280440972,0.8530131675909262,0.7656838587248987,0.7534936384493907,0.5057859443394388
blosum,e3,s100,3,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,,,dataset/full/test.csv,DP,0.9370325598238504,0.984693419235247,0.9365244536940688,0.8957010258915487,0.6448089366873192
blosum,e3,s100,3,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,,,dataset/full/test.csv,DQ,0.8192662229236716,0.8459532859716954,0.7504482477587612,0.7303628038041564,0.4591694180765119
blosum,e3,s100,3,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold3.csv,,,dataset/full/test.csv,H2,0.817939412526409,0.8953277627184839,0.8599033816425121,0.7805405405405406,0.4106899649358033
blosum,e3,s100,4,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,,,dataset/full/test.csv,DR,0.8491130786505665,0.8641875934151227,0.7808139373595584,0.7645779327195257,0.5268006075534938
blosum,e3,s100,4,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,,,dataset/full/test.csv,DP,0.9528100516206016,0.9885046099626004,0.947273951088176,0.9138983878847092,0.7126703398001945
blosum,e3,s100,4,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,,,dataset/full/test.csv,DQ,0.8343940849516228,0.8536733757069184,0.765725606736008,0.7500880591757662,0.4987185958805982
blosum,e3,s100,4,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s100/pred-blosum_fold4.csv,,,dataset/full/test.csv,H2,0.8190326904291328,0.8985175936900478,0.8598510494245092,0.7762162162162162,0.3950001519481991
blosum,e3,s128,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s128/pred-blosum_fold0.csv,,,dataset/full/test.csv,DR,0.8464995937317985,0.8624864913232404,0.7801371378013714,0.7630583117308781,0.5236412724294675
blosum,e3,s128,0,plots,plots,,260905/9_blosum_rerun/1_bulk,260905/9_blosum_rerun/1_bulk/plots/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/1_bulk/plots/e3_s128/pred-blosum_fold0.csv,,,dataset/full/test.csv,DP,0.9485617038165556,0.9876480017920846,0.9447571090047392,0.9088910600879336,0.6864051275584506
