model,lr,stratum,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
boltz,e5,Exact 15-mer match,0.8616476541311097,0.004576871851740462,0.8628910658523914,0.004566123492954814,0.7704335652290535,0.0027294038781167733,0.7732768955532193,0.004429950557299003,0.5491996194998251,0.008161164810091581,3.0,s100|s128|s42,
boltz,e5,No 9-mer overlap,0.8292140904148182,0.003332636896987396,0.9940173518259545,0.0002475721755184654,0.9475209890791669,0.002201350773500928,0.901542973731191,0.0040006474917560295,0.1955713283230888,0.005875708182430812,3.0,s100|s128|s42,
boltz,e5,Overall,0.883721534413208,0.0040495450202179106,0.9184354249570864,0.0030162039396496193,0.8300522388456457,0.0022904982893099343,0.7994567615265828,0.003441410459196961,0.586555940388953,0.007792458521765319,3.0,s100|s128|s42,
chai,e5,"9-mer overlap, not exact",0.9174262859889962,0.002775205067920726,0.9819148250123417,0.0006607453612849807,0.9276658923807165,0.0027274997429449755,0.8800133753702112,0.0038506107000891303,0.5764241960250889,0.00878926053435843,3.0,s100|s128|s42,
chai,e5,>=1 9-mer overlap,0.9053885171119296,0.0008886369157959433,0.9228407005534686,0.0007410600984854256,0.8323565188747031,0.0015295900570088633,0.8200955384472683,0.0010760869150711445,0.6388607963887147,0.002387945491503481,3.0,s100|s128|s42,
chai,e5,Exact 15-mer match,0.8938493857467386,0.0009594383804119342,0.8953980566390424,0.0009216318023342516,0.8005480675987532,0.0012653592416413276,0.8085283756616685,0.001310932008625541,0.6171985534927585,0.00248833027671276,3.0,s100|s128|s42,
chai,e5,No 9-mer overlap,0.8691846715368894,0.008723791688132275,0.9954948696092684,0.0004939058484042802,0.9596123891258211,0.0031540293658401854,0.923463402193318,0.005628421167845455,0.26428227310500857,0.009629828894061722,3.0,s100|s128|s42,
chai,e5,Overall,0.9138029647743537,0.0007336539659263775,0.9405280536989298,0.0005885071242090151,0.8548051905189533,0.0016194776038862984,0.8312720604456211,0.0009050193209779566,0.6539404005634694,0.0018644904156369187,3.0,s100|s128|s42,
deepneo,e3,"9-mer overlap, not exact",0.9062072511106655,0.004409394491809708,0.9787962969047578,0.0011291287519730215,0.9227457637386062,0.0007537529016292942,0.8726629369291828,0.0011332966529403517,0.562429327900896,0.011802010336380637,3.0,s100|s128|s42,
deepneo,e3,>=1 9-mer overlap,0.8823779174604439,0.0018807141953943052,0.9042749061252771,0.0017504189960779644,0.8106149386114657,0.0027516504162080706,0.7965444664342035,0.0018863574895289158,0.5912946793249684,0.004021886569989149,3.0,s100|s128|s42,
deepneo,e3,Exact 15-mer match,0.8670629867217734,0.0023817679259250696,0.8696557753225056,0.002569336813159284,0.7728241829737902,0.00407678030903377,0.7815859949820991,0.0024595069133580235,0.5630953766646893,0.004993396780468683,3.0,s100|s128|s42,
deepneo,e3,No 9-mer overlap,0.8606160281296898,0.006309749396885067,0.9946659374010335,0.000296176327345518,0.9621765105628038,0.0018444818633431095,0.928124601046853,0.003369993481174172,0.28185631256860627,0.008133341113478135,3.0,s100|s128|s42,
