model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_large,e5,s128,>=1 9-mer overlap,0.9202758619169564,0.9357862065169986,0.8467903871072068,0.8363834523699101,0.671545371747579,5
esm3_large,e5,s128,Exact 15-mer match,0.9084506774165988,0.9105154827757765,0.8147589120063208,0.8240026558955348,0.6474872086863874,5
esm3_large,e5,s128,No 9-mer overlap,0.8954615819177748,0.9964833443134637,0.9678599737904943,0.9385998469778117,0.3044614193610876,5
esm3_large,e5,s128,Overall,0.9285869949545337,0.9514101245097157,0.8683758004705174,0.8474354731965585,0.6872383695089236,5
esm3_large,e5,s42,"9-mer overlap, not exact",0.9346724118488448,0.9858268708567393,0.9385326481090933,0.8972771567784464,0.6268188857920338,5
esm3_large,e5,s42,>=1 9-mer overlap,0.9164063427452934,0.9324284178496564,0.8431268657872021,0.8323393006214637,0.6633877211945717,5
esm3_large,e5,s42,Exact 15-mer match,0.9041209590692484,0.9060137410437111,0.8107855800888452,0.8198030210811709,0.6390636995717842,5
esm3_large,e5,s42,No 9-mer overlap,0.8946007543491385,0.9964651713493649,0.9683188077484729,0.9395179801071155,0.32069229595322607,5
esm3_large,e5,s42,Overall,0.9251625467447806,0.9488974367652604,0.8654317763151704,0.8439278623428192,0.6799637040061492,5
esm3_medium,e5,s100,"9-mer overlap, not exact",0.9344136560843734,0.9857753299629073,0.9373308258862169,0.895786758383491,0.6289081700019307,5
esm3_medium,e5,s100,>=1 9-mer overlap,0.912317877463178,0.9286855644335461,0.8390511385218538,0.8280957239588165,0.6550457929320869,5
esm3_medium,e5,s100,Exact 15-mer match,0.8993928358559978,0.9006457421650792,0.8059357241753767,0.8150279422342722,0.629692822234564,5
esm3_medium,e5,s100,No 9-mer overlap,0.887067509263208,0.9960483525642776,0.9680796650773471,0.9390589135424637,0.31373889208773587,5
esm3_medium,e5,s100,Overall,0.9215695806225659,0.9461919450756578,0.8620472592489374,0.8400934811383189,0.6723255932038025,5
esm3_medium,e5,s128,"9-mer overlap, not exact",0.9264822332615186,0.9840809233554811,0.9305965998457589,0.8853253081112067,0.6019678774794471,5
esm3_medium,e5,s128,>=1 9-mer overlap,0.906684363520531,0.9243448956580671,0.8308357119804708,0.8211761432149152,0.6417335692232113,5
esm3_medium,e5,s128,Exact 15-mer match,0.8938334691785477,0.8956850209557959,0.7970480179422798,0.8087921208432469,0.6168487972042673,5
esm3_medium,e5,s128,No 9-mer overlap,0.8822910724274866,0.9959690712243233,0.9603704482792208,0.9249043611323643,0.2855730784470391,5
esm3_medium,e5,s128,Overall,0.9157712662832681,0.9422966420419006,0.8539720300474037,0.8323916280608868,0.6579991327026937,5
esm3_medium,e5,s42,"9-mer overlap, not exact",0.9326328425001037,0.9855534573249658,0.9335291979541562,0.8898824878188594,0.6134909045241822,5
esm3_medium,e5,s42,>=1 9-mer overlap,0.9126296284407284,0.9292272692485817,0.8378942864852927,0.8285780539838605,0.6565653431625477,5
esm3_medium,e5,s42,Exact 15-mer match,0.9002007423847038,0.9018904176329231,0.805403871863936,0.8167432081004813,0.6328019382022888,5
esm3_medium,e5,s42,No 9-mer overlap,0.8897628397201929,0.9962076198373365,0.963766981845108,0.9311782708492732,0.3183448674750199,5
esm3_medium,e5,s42,Overall,0.9214185958283018,0.9462096606288396,0.8604088557049098,0.8396715751158172,0.6727737611953717,5
esm3_small,e5,s100,"9-mer overlap, not exact",0.9332475413825236,0.9855618415820511,0.9371859192487783,0.8952708512467756,0.6228134552763572,5
esm3_small,e5,s100,>=1 9-mer overlap,0.9133941594526178,0.9298875643631714,0.8400398081228986,0.8291948798812726,0.6572037575383683,5
esm3_small,e5,s100,Exact 15-mer match,0.9007229767395973,0.9022751738638309,0.8071731270659409,0.8164388867371217,0.6324298511104047,5
esm3_small,e5,s100,No 9-mer overlap,0.8846524289266864,0.9959650191787264,0.9678041859475058,0.9384850803366488,0.3058197774252333,5
esm3_small,e5,s100,Overall,0.9223546344833815,0.9469005109563046,0.86281865079025,0.8410117471872931,0.6741496082420173,5
esm3_small,e5,s128,"9-mer overlap, not exact",0.9305243369003318,0.9850847665994434,0.9322692374711886,0.8884494124390944,0.6181868832833463,5
esm3_small,e5,s128,>=1 9-mer overlap,0.9114960276348555,0.9285815635013484,0.8338222885052595,0.8266394583062796,0.653830203844425,5
esm3_small,e5,s128,Exact 15-mer match,0.8988225547609037,0.9009250516625157,0.8000282439121381,0.81470702152382,0.6286501678332735,5
esm3_small,e5,s128,No 9-mer overlap,0.883862356205657,0.9960163733315813,0.9602683198576116,0.9248278500382556,0.3039929476293535,5
esm3_small,e5,s128,Overall,0.9202275617957086,0.9455968704199205,0.8566310039632035,0.8372559563203177,0.6699394434487775,5
esm3_small,e5,s42,"9-mer overlap, not exact",0.9323848441144525,0.985440166182666,0.9358735129189751,0.8935224992834623,0.6228798366955829,5
