model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esmc_medium,e5,s42,Exact 15-mer match,0.902411807168656,0.9042762922294207,0.8070649424590519,0.8184418746195983,0.6362405718005799,5
esmc_medium,e5,s42,No 9-mer overlap,0.8767292706296766,0.9959063487726887,0.9622343958938353,0.9282325937260903,0.27057432396122566,5
esmc_medium,e5,s42,Overall,0.9224323184104394,0.9469660993396047,0.8615361449534464,0.8407511581733951,0.6748045820562789,5
esmc_small,e5,s100,"9-mer overlap, not exact",0.9296427363210654,0.9849534912130004,0.9342898453734241,0.8909716251074806,0.6147159846578056,5
esmc_small,e5,s100,>=1 9-mer overlap,0.9121448157078273,0.9291727159976284,0.8379184270937591,0.8284992115759205,0.6561316702466564,5
esmc_small,e5,s100,Exact 15-mer match,0.8998947435228228,0.9021570913188647,0.8051475560267566,0.8164388867371217,0.6319840022402776,5
esmc_small,e5,s100,No 9-mer overlap,0.87942709342963,0.995980151171248,0.9577687074386689,0.9201224177505738,0.26960668346568795,5
esmc_small,e5,s100,Overall,0.9200567941773322,0.9455433083581933,0.8592669524676451,0.8384058570483124,0.6700400240788096,5
esmc_small,e5,s128,"9-mer overlap, not exact",0.9241323469187901,0.9835330804948972,0.9312732009714916,0.886213814846661,0.6016083261600798,5
esmc_small,e5,s128,>=1 9-mer overlap,0.9127120818951614,0.9290019457776104,0.8381074633164822,0.8300667841573137,0.6600835555535232,5
esmc_small,e5,s128,Exact 15-mer match,0.9013787362805173,0.9028290653436691,0.8061719998424476,0.8192275770486361,0.6377125370977319,5
esmc_small,e5,s128,No 9-mer overlap,0.8696767708096791,0.9955603932318032,0.9578986915865888,0.9203136954858454,0.2609278240554297,5
esmc_small,e5,s128,Overall,0.9205560923262082,0.9454000081715066,0.8595975926149272,0.8398246194573129,0.6742049496199879,5
esmc_small,e5,s42,"9-mer overlap, not exact",0.9247768993821556,0.9839758869840528,0.9313891670204827,0.8859271997707079,0.5935307496268731,5
esmc_small,e5,s42,>=1 9-mer overlap,0.9086212445808804,0.9260236066289519,0.8344126253601349,0.8231982190891383,0.6454217113922452,5
esmc_small,e5,s42,Exact 15-mer match,0.8964453694267543,0.8982951114485568,0.801733735399903,0.8110883638576883,0.6221160493811542,5
esmc_small,e5,s42,No 9-mer overlap,0.8761446777400541,0.995845523515434,0.9608230067567538,0.9256312165263963,0.26319914480563794,5
esmc_small,e5,s42,Overall,0.9171559748616807,0.9433438222288691,0.8568357062309859,0.8342736598279284,0.6607101124224635,5
