model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s128,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DR,0.9283012369111986,0.8225454465166502,0.7301102259085452,0.8803753688385817,0.6571894085036203
blosum,e3,s128,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DP,0.9781612550955406,0.994379723111728,0.9599934415477948,0.9365409622886866,0.8077864499779561
blosum,e3,s128,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DQ,0.9625489748510444,0.9427218996677168,0.8675649030561945,0.9066913637416067,0.7955373356770584
blosum,e3,s128,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,H2,0.8677956767176098,0.9179302390465782,0.8542246982358404,0.8056930693069307,0.5629474839804223
blosum,e3,s128,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DR,0.9350411124300736,0.8399583330091748,0.7481874256032897,0.8874377206984956,0.6788418303594328
blosum,e3,s128,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DP,0.9831576064630974,0.9956848338420924,0.9695304291602684,0.9509752925877764,0.844310861365518
blosum,e3,s128,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DQ,0.9712907098312288,0.9555787071575568,0.8741496598639455,0.9143320213012271,0.8105524903846807
blosum,e3,s128,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,H2,0.8683601817430813,0.9244978911835618,0.8621908127208481,0.806930693069307,0.5499630047039462
blosum,e3,s128,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DR,0.9348668738521444,0.8318765364214091,0.7602290473711608,0.8885986552508103,0.6882290606975439
blosum,e3,s128,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DP,0.9826689958946506,0.995551709823978,0.9681869826326897,0.9490247074122236,0.8400012960897784
