model,lr,seed,dir,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
chai,e5,s128,plots_1000,0.8234152970824375,0.7917651837789718,0.7207757380750607,0.7431378091872791,0.4834715730701661,5
chai,e5,s128,plots_500,0.8261015701807652,0.7302522539680891,0.6583311661045006,0.7623462897526502,0.4785840411528454,5
chai,e5,s42,plots_1000,0.8237132356304879,0.7898461200997993,0.7265913066676429,0.7444664310954063,0.4877725122605597,5
chai,e5,s42,plots_500,0.8229138202654471,0.7230791820251866,0.6581006259029538,0.7588409893992933,0.47505948836212664,5
deepneo,e3,s100,plots_1000,0.8240685781696158,0.7914001371370846,0.7259745103135691,0.7479776156407169,0.4928855324695899,5
deepneo,e3,s100,plots_500,0.82893590593931,0.7313996370302712,0.663053027791678,0.7618615853226606,0.4803960366059513,5
deepneo,e3,s128,plots_1000,0.8203254040425584,0.786218389229755,0.7205107040648608,0.7434724091520861,0.48375148974176285,5
deepneo,e3,s128,plots_500,0.8287145314038501,0.7307560528066362,0.6652948192842588,0.7621307643266984,0.48189932028848226,5
deepneo,e3,s42,plots_1000,0.8225877640511673,0.7910740170935784,0.7196715505015466,0.7458525182404194,0.48769443327568346,5
deepneo,e3,s42,plots_500,0.831222085748589,0.7343514010013275,0.6621927158666443,0.7637033364029184,0.4828982275533207,5
esm3_large,e5,s100,plots_1000,0.8356941005786664,0.8066284239684082,0.7243196267939618,0.7551660777385159,0.5060492455919028,5
esm3_large,e5,s100,plots_500,0.8348346496917023,0.7414631678532588,0.6673352372222718,0.7668692579505301,0.4927756661869272,5
esm3_large,e5,s128,plots_1000,0.837161376593645,0.8085236650262708,0.7319126259224914,0.7576819787985866,0.5121182702573461,5
esm3_large,e5,s128,plots_500,0.8336224786436001,0.7408536983693959,0.6625828663642223,0.7677597173144877,0.49013789524579376,5
esm3_large,e5,s42,plots_1000,0.8339572708823368,0.804125935933899,0.7313309819288677,0.7543462897526502,0.5056834311746434,5
esm3_large,e5,s42,plots_500,0.8360841875549057,0.7444046299786239,0.6720138557632958,0.7706431095406361,0.49908825683331826,5
esm3_medium,e5,s100,plots_1000,0.8314747693704445,0.8006254413028314,0.725623177482378,0.7534416961130742,0.5034431779318106,5
esm3_medium,e5,s100,plots_500,0.8347223082812161,0.7410858759635807,0.6703370135124882,0.7679010600706714,0.49346889941846284,5
esm3_medium,e5,s128,plots_1000,0.8337598335837655,0.8034770709775729,0.7306349972704801,0.7546855123674912,0.5059394107393321,5
esm3_medium,e5,s128,plots_500,0.833537620172779,0.7409513819452913,0.6753155330207312,0.7674628975265018,0.49541886284206604,5
esm3_medium,e5,s42,plots_1000,0.8306691466894962,0.7996840678340253,0.7341147372514047,0.7526219081272084,0.5034230366935721,5
esm3_medium,e5,s42,plots_500,0.8374084310791383,0.7434411789539013,0.6793673519974721,0.7694134275618374,0.5002612988823306,5
esm3_small,e5,s100,plots_1000,0.8385384327294645,0.8066036938821555,0.7363062967105616,0.7574840989399293,0.5125653705535484,5
esm3_small,e5,s100,plots_500,0.8388225675253288,0.7444604047239837,0.6759167134264245,0.7700212014134276,0.4993023435262165,5
esm3_small,e5,s128,plots_1000,0.8300244949173775,0.797473053283588,0.7301375511907114,0.7507279151943462,0.49952489116996013,5
esm3_small,e5,s128,plots_500,0.8372010246011682,0.7417787987998878,0.6789081217665162,0.7693144876325089,0.5003956893789709,5
esm3_small,e5,s42,plots_1000,0.8325579608984185,0.8007283790092684,0.7371374883077848,0.7534982332155477,0.5057929984782377,5
esm3_small,e5,s42,plots_500,0.8410585695136359,0.7464550470309618,0.6919735956308719,0.7724240282685513,0.5117739181234153,5
esmc_large,e5,s100,plots_1000,0.8286303085265698,0.7984512126520421,0.7253893227901992,0.7487491166077739,0.4945895585238372,5
esmc_large,e5,s100,plots_500,0.8267674086156755,0.7284766715391346,0.662447018645991,0.7631378091872791,0.4821024215734682,5
esmc_large,e5,s128,plots_1000,0.8225253422305828,0.7929661413051271,0.7174753643785735,0.7445371024734982,0.48530826958428486,5
esmc_large,e5,s128,plots_500,0.8238191996066071,0.7279047884210832,0.6536235278228247,0.7615971731448763,0.47676011094397025,5
esmc_large,e5,s42,plots_1000,0.8242988715728556,0.7940598363962932,0.714551315972783,0.7435194346289753,0.4835306132292813,5
esmc_large,e5,s42,plots_500,0.8253853355990944,0.7303306659014679,0.6574304588821683,0.7623321554770318,0.4788179328910279,5
esmc_medium,e5,s100,plots_1000,0.8363670990117276,0.807105835230608,0.7382294866066246,0.7563816254416962,0.5111088492230268,5
esmc_medium,e5,s100,plots_500,0.835575030275554,0.7415556266637792,0.673220804700672,0.7699081272084806,0.4978611696732263,5
esmc_medium,e5,s128,plots_1000,0.8335867534607629,0.803283271854767,0.729561756864998,0.7543321554770317,0.5053750777318488,5
esmc_medium,e5,s128,plots_500,0.8371211704608357,0.7441240181401723,0.6738291685007978,0.7701060070671378,0.4983656306445251,5
esmc_medium,e5,s42,plots_1000,0.8359859925629477,0.8072704233779945,0.7408835410462222,0.755547703180212,0.5108119069431999,5
esmc_medium,e5,s42,plots_500,0.8378199759447901,0.7441537583352344,0.6794318045679114,0.7707420494699646,0.5016136730697085,5
esmc_small,e5,s100,plots_1000,0.8335493339379226,0.8009405456027565,0.7402936657051674,0.7546289752650177,0.50902177468147,5
esmc_small,e5,s100,plots_500,0.8368138236733834,0.7415323468576066,0.6706355125009515,0.767547703180212,0.49292781683217735,5
esmc_small,e5,s128,plots_1000,0.833278704462885,0.7997390049762292,0.7373579556316053,0.7549540636042403,0.5083394727244421,5
esmc_small,e5,s128,plots_500,0.8389586913387476,0.744981713795022,0.6798571822041524,0.7702897526501766,0.5027953990972444,5
esmc_small,e5,s42,plots_1000,0.8372188541389655,0.8065628370698047,0.7420009142521122,0.7565512367491166,0.5130464200794249,5
esmc_small,e5,s42,plots_500,0.8368557042827087,0.7422171690161233,0.678705783169289,0.7678021201413427,0.4979861001036438,5
